,TD_per_Att,Fmb_per_Att,1D_per_Att,TD_per_Game,Fmb_per_Game,TD_to_Fmb,Starter_Ratio,Lng_Yds_ratio
0,0.03768115942028986,0.005797101449275362,0.23768115942028986,0.8125,0.125,6.5,1.0,0.035910224438902745
1,0.04923076923076923,0.009230769230769232,0.28923076923076924,0.9411764705882353,0.17647058823529413,5.333333333333333,1.0,0.045288912024986985
2,0.04430379746835443,0.015822784810126583,0.2689873417721519,0.875,0.3125,2.8,1.0,0.023094688221709007
3,0.046052631578947366,0.003289473684210526,0.26973684210526316,0.8235294117647058,0.058823529411764705,14.0,1.0,0.025412087912087912
4,0.036303630363036306,0.013201320132013201,0.23432343234323433,0.7857142857142857,0.2857142857142857,2.75,0.9285714285714286,0.04891684136967156
5,0.04983388704318937,0.013289036544850499,0.2425249169435216,0.8823529411764706,0.23529411764705882,3.75,1.0,0.028592927012791574
6,0.022813688212927757,0.0,0.19011406844106463,0.35294117647058826,0.0,,1.0,0.03451581975071908
7,0.019230769230769232,0.007692307692307693,0.20384615384615384,0.3125,0.125,2.5,1.0,0.037998146431881374
8,0.0196078431372549,0.0196078431372549,0.19215686274509805,0.29411764705882354,0.29411764705882354,1.0,1.0,0.03602811950790861
9,0.023715415019762844,0.007905138339920948,0.16996047430830039,0.35294117647058826,0.11764705882352941,3.0,1.0,0.058394160583941604
11,0.04,0.016,0.248,0.6666666666666666,0.26666666666666666,2.5,1.0,0.031799163179916316
12,0.044897959183673466,0.0,0.21224489795918366,0.7857142857142857,0.0,,1.0,0.058070866141732284
13,0.03389830508474576,0.01694915254237288,0.2838983050847458,0.5,0.25,2.0,1.0,0.048446069469835464
14,0.00851063829787234,0.01276595744680851,0.225531914893617,0.125,0.1875,0.6666666666666666,0.9375,0.025023169601482854
15,0.03056768558951965,0.008733624454148471,0.21397379912663755,0.4375,0.125,3.5,0.625,0.04040404040404041
16,0.02631578947368421,0.0043859649122807015,0.22807017543859648,0.42857142857142855,0.07142857142857142,6.0,1.0,0.02526315789473684
17,0.023923444976076555,0.028708133971291867,0.19138755980861244,0.3125,0.375,0.8333333333333334,1.0,0.04794520547945205
18,0.07729468599033816,0.004830917874396135,0.2318840579710145,1.0,0.0625,16.0,1.0,0.06442021803766106
20,0.033816425120772944,0.033816425120772944,0.1932367149758454,0.4666666666666667,0.4666666666666667,1.0,0.9333333333333333,0.04119850187265917
21,0.029556650246305417,0.0049261083743842365,0.18226600985221675,0.35294117647058826,0.058823529411764705,6.0,0.9411764705882353,0.06725468577728776
23,0.046153846153846156,0.0,0.24102564102564103,0.6923076923076923,0.0,,0.8461538461538461,0.06740331491712707
24,0.026041666666666668,0.026041666666666668,0.203125,0.29411764705882354,0.29411764705882354,1.0,0.7058823529411765,0.05363528009535161
25,0.0427807486631016,0.0106951871657754,0.25133689839572193,0.5714285714285714,0.14285714285714285,4.0,0.9285714285714286,0.05006257822277847
26,0.06486486486486487,0.010810810810810811,0.2702702702702703,0.8571428571428571,0.14285714285714285,6.0,1.0,0.027096774193548386
29,0.0457516339869281,0.006535947712418301,0.1830065359477124,0.6363636363636364,0.09090909090909091,7.0,1.0,0.04886561954624782
30,0.013333333333333334,0.006666666666666667,0.20666666666666667,0.13333333333333333,0.06666666666666667,2.0,1.0,0.03942652329749104
33,0.020833333333333332,0.020833333333333332,0.24305555555555555,0.1875,0.1875,1.0,0.9375,0.09135399673735727
35,0.02877697841726619,0.014388489208633094,0.2158273381294964,0.23529411764705882,0.11764705882352941,2.0,0.6470588235294118,0.03898635477582846
