,Player,Team
0,Saquon Barkley,PHI
1,Derrick Henry,BAL
2,Kyren Williams,LAR
3,Bijan Robinson,ATL
4,Jonathan Taylor,IND
5,Josh Jacobs,GNB
6,Najee Harris,PIT
7,Tony Pollard,TEN
8,Aaron Jones,MIN
9,D'Andre Swift,CHI
11,Chuba Hubbard,CAR
12,Joe Mixon,HOU
13,James Conner,ARI
14,Rico Dowdle,DAL
15,Chase Brown,CIN
16,Alvin Kamara,NOR
17,Breece Hall,NYJ
18,James Cook,BUF
20,Rhamondre Stevenson,NWE
21,De'Von Achane,MIA
23,J.K. Dobbins,LAC
24,Tyrone Tracy Jr.,NYG
25,Brian Robinson Jr.,WAS
26,David Montgomery,DET
29,Kenneth Walker III,SEA
30,Travis Etienne,JAX
33,Rachaad White,TAM
35,Javonte Williams,DEN
