,Player,Team,Cluster
0,Joe Burrow,CIN,2
1,Jared Goff,DET,2
2,Baker Mayfield,TAM,2
3,Geno Smith,SEA,0
4,Sam Darnold,MIN,2
5,Lamar Jackson,BAL,2
6,Patrick Mahomes,KAN,0
7,Aaron Rodgers,NYJ,0
8,Justin Herbert,LAC,0
9,Brock Purdy,SFO,3
10,Kyler Murray,ARI,0
11,Bo Nix,DEN,0
12,Matthew Stafford,LAR,0
13,Josh Allen,BUF,2
14,C.J. Stroud,HOU,0
15,Jayden Daniels,WAS,0
16,Caleb Williams,CHI,0
17,Kirk Cousins,ATL,0
18,Jordan Love,GNB,3
19,Jalen Hurts,PHI,0
20,Tua Tagovailoa,MIA,3
21,Russell Wilson,PIT,3
22,Bryce Young,CAR,1
23,Drake Maye,NWE,1
24,Derek Carr,NOR,3
25,Will Levis,TEN,1
26,Daniel Jones,NYG,1
27,Trevor Lawrence,JAX,1
28,Gardner Minshew II,LVR,1
29,Anthony Richardson,IND,1
